,Season,Team,Avg FG3%,Avg FG%,Avg FT%,AvgTO,avgScore,avgBlk,avgDr,avgAst,avgPf,avgStl,avgOR,Home Win,Neutral Win,Away Win,Wins,Losses,Upsets,Games,AvgWinRank,AvgLossRank,AvgOffRating,AvgDefRating,AvgNetRating,Top 25 Wins,Top 10 Wins
2003_1130,2003,1130,34.46,46.88,69.09,13.34,79.66,2.9,22.07,17.0,18.97,7.0,13.79,9,0,9,18,11,1,29,131.39,64.09,111.64,107.68,3.96,0,0
2003_1131,2003,1131,33.97,43.05,74.31,13.37,68.1,3.47,24.4,13.57,20.17,5.7,11.0,9,3,8,20,10,1,30,230.45,131.2,102.47,95.41,7.06,0,0
2003_1132,2003,1132,36.58,43.87,73.73,16.67,66.48,2.52,22.11,12.74,22.19,7.15,8.67,6,1,4,11,16,6,27,174.0,111.69,97.94,104.41,-6.47,0,0
2003_1133,2003,1133,35.92,43.64,70.4,14.17,72.31,1.69,23.24,12.55,20.34,7.45,11.0,6,2,3,11,18,3,29,216.64,109.06,102.12,101.92,0.2,0,0
2003_1135,2003,1135,37.02,46.15,74.43,15.68,73.96,3.68,23.36,14.57,17.61,7.64,9.54,7,0,10,17,11,0,28,245.06,103.64,104.5,101.91,2.59,0,0
2003_1137,2003,1137,33.82,40.43,63.71,15.82,57.68,2.14,22.04,11.68,17.79,5.79,9.71,6,3,4,13,15,4,28,256.62,160.93,91.4,93.25,-1.85,0,0
2003_1138,2003,1138,29.21,40.2,67.16,14.5,64.82,2.07,22.64,12.64,22.71,6.43,13.57,5,0,0,5,23,4,28,182.0,158.91,95.29,107.4,-12.11,0,0
2003_1139,2003,1139,38.8,47.52,72.29,10.41,68.59,1.86,20.38,12.97,16.07,6.34,7.83,11,3,10,24,5,0,29,180.5,69.0,112.76,100.62,12.14,0,0
2003_1140,2003,1140,38.4,46.88,75.3,13.74,72.45,2.52,24.42,13.42,21.42,6.94,10.87,13,4,6,23,8,0,31,121.0,45.88,110.68,95.47,15.21,0,0
2003_1141,2003,1141,38.08,50.52,76.58,18.24,79.34,4.0,23.28,15.62,20.97,7.1,10.59,11,3,9,23,6,0,29,156.96,128.33,109.56,101.38,8.17,0,0
2003_1142,2003,1142,31.74,42.46,71.63,15.83,67.52,3.83,23.38,12.45,19.45,6.97,11.52,6,3,6,15,14,4,29,217.93,157.21,97.76,98.85,-1.09,0,0
2003_1143,2003,1143,37.65,46.56,68.55,14.17,74.48,2.79,24.38,16.0,17.1,6.55,11.24,13,1,7,21,8,2,29,146.71,39.38,105.23,98.71,6.52,1,0
2003_1144,2003,1144,34.98,44.09,69.87,16.0,65.04,2.73,19.85,14.5,16.58,6.19,7.85,4,0,0,4,22,3,26,295.25,199.41,93.84,113.76,-19.92,0,0
2003_1145,2003,1145,34.37,43.88,70.52,14.32,70.25,3.39,25.25,15.64,19.36,8.14,11.5,6,1,3,10,18,5,28,246.1,124.94,99.59,100.52,-0.93,0,0
2003_1147,2003,1147,31.9,45.28,76.97,16.08,72.62,3.71,18.5,12.04,20.42,8.12,11.04,5,0,5,10,14,3,24,278.8,157.79,100.72,109.0,-8.28,0,0
2003_1148,2003,1148,37.59,46.25,74.75,15.46,67.54,1.64,21.89,11.46,15.54,5.79,11.5,9,1,5,15,13,3,28,253.87,183.15,103.54,103.83,-0.3,0,0
2003_1149,2003,1149,27.86,44.2,74.53,14.65,64.69,3.19,21.27,12.46,19.23,9.77,10.77,7,0,5,12,14,3,26,249.83,176.71,97.22,97.5,-0.28,0,0
2003_1150,2003,1150,33.29,39.62,63.37,13.72,68.45,2.03,23.28,14.52,18.34,8.48,14.66,11,0,2,13,16,6,29,130.38,67.38,99.39,101.8,-2.41,0,0
2003_1151,2003,1151,36.86,47.89,75.94,16.46,79.82,3.18,23.07,16.18,18.57,7.14,12.61,9,2,8,19,9,3,28,206.47,154.33,110.95,104.88,6.07,0,0
2003_1152,2003,1152,33.24,44.21,61.77,17.43,63.2,1.67,20.73,12.1,22.03,7.2,12.03,2,1,0,3,27,3,30,257.33,182.96,92.74,110.42,-17.68,0,0
2003_1153,2003,1153,34.25,40.39,68.99,10.61,67.32,4.25,23.39,12.29,18.96,5.18,12.14,12,2,3,17,11,2,28,110.71,50.91,102.73,94.65,8.08,2,0
2003_1154,2003,1154,31.36,40.05,66.39,16.33,63.08,3.04,21.67,13.08,20.12,7.46,11.0,3,0,1,4,20,3,24,259.0,168.1,91.02,103.76,-12.74,0,0
2003_1155,2003,1155,34.7,44.17,65.65,13.46,68.43,2.64,22.43,12.54,19.11,7.11,13.43,13,1,1,15,13,6,28,178.6,45.92,103.78,102.45,1.33,0,0
2003_1156,2003,1156,37.11,44.61,65.93,17.23,65.63,4.43,21.0,13.53,19.47,7.07,10.43,5,1,2,8,22,5,30,237.62,124.82,96.38,107.16,-10.78,0,0
2003_1157,2003,1157,36.87,43.46,73.29,16.85,67.27,1.58,22.12,12.23,21.19,6.23,13.35,6,0,5,11,15,7,26,222.91,208.53,100.28,102.93,-2.64,0,0
2003_1158,2003,1158,39.08,43.61,68.51,14.07,73.34,4.38,23.93,14.45,18.93,7.34,10.9,10,5,7,22,7,2,29,215.18,105.29,103.8,97.01,6.79,1,0
2003_1159,2003,1159,35.26,43.35,68.88,14.31,65.88,1.69,21.88,13.96,19.15,6.88,10.58,7,0,5,12,14,4,26,267.58,175.93,97.84,100.8,-2.96,0,0
2003_1160,2003,1160,32.56,44.35,67.52,14.0,75.52,6.65,27.97,13.39,17.71,6.13,14.48,14,3,3,20,11,4,31,124.85,59.0,104.38,98.52,5.85,4,2
2003_1161,2003,1161,36.31,50.67,70.05,16.13,74.0,4.23,23.47,15.5,20.57,5.33,10.8,12,2,3,17,13,4,30,154.65,65.08,107.22,106.77,0.45,2,0
2003_1162,2003,1162,30.29,37.28,67.13,17.07,49.63,3.44,21.63,9.7,18.26,5.19,9.44,1,0,1,2,25,2,27,308.5,197.44,81.99,101.77,-19.78,0,0
2003_1163,2003,1163,38.64,47.48,67.42,15.8,80.03,7.73,27.9,15.63,18.4,5.93,14.77,14,2,5,21,9,3,30,119.62,70.44,108.19,97.38,10.8,3,2
2003_1164,2003,1164,39.24,43.7,73.12,14.86,58.04,2.07,19.43,9.21,15.71,7.32,9.25,5,0,6,11,17,3,28,274.91,149.59,94.78,103.05,-8.27,0,0
2003_1165,2003,1165,33.54,42.5,63.7,15.46,59.92,2.12,22.15,12.92,18.35,7.31,9.31,4,0,4,8,18,4,26,272.25,167.78,93.08,104.18,-11.1,0,0
2003_1166,2003,1166,38.91,49.95,69.29,13.36,79.24,4.45,23.18,16.82,17.27,8.39,10.88,17,5,7,29,4,2,33,169.31,82.0,113.82,93.09,20.73,2,0
2003_1168,2003,1168,34.59,43.94,64.84,13.24,62.93,1.52,19.34,11.69,18.0,5.93,12.07,6,0,4,10,19,7,29,227.4,174.0,100.93,106.38,-5.45,0,0
2003_1169,2003,1169,35.34,44.71,70.55,17.11,69.86,2.0,22.21,12.75,22.79,8.54,12.43,8,1,4,13,15,4,28,232.23,158.2,100.91,101.91,-1.01,0,0
2003_1170,2003,1170,30.9,41.05,67.18,16.36,65.43,2.93,22.04,12.96,21.39,8.39,10.86,5,1,5,11,17,7,28,228.18,163.88,92.42,102.49,-10.07,0,0
2003_1171,2003,1171,35.75,41.3,70.4,12.42,59.23,2.38,21.35,13.54,18.58,6.08,6.77,3,1,3,7,19,2,26,281.29,168.68,95.52,104.7,-9.17,0,0
2003_1172,2003,1172,39.08,45.08,77.36,18.88,76.5,1.62,28.38,16.0,20.38,5.62,11.83,8,0,6,14,10,3,24,224.14,122.8,102.88,98.58,4.3,0,0
2003_1173,2003,1173,36.03,45.17,71.56,13.31,72.79,2.93,23.17,15.21,17.59,5.38,13.48,17,0,7,24,5,1,29,128.62,51.4,112.38,102.43,9.95,1,1
2003_1174,2003,1174,33.78,40.84,70.59,13.41,68.62,3.72,24.38,14.03,19.1,7.97,11.03,8,2,5,15,14,5,29,206.47,131.07,97.25,97.58,-0.33,0,0
2003_1175,2003,1175,36.78,44.11,68.68,13.7,62.22,3.37,19.33,12.15,18.26,6.67,10.63,11,0,4,15,12,4,27,258.67,165.75,101.97,102.07,-0.11,0,0
2003_1176,2003,1176,34.58,40.75,72.8,13.31,70.88,1.69,24.25,14.38,19.16,7.16,12.78,10,5,2,17,15,4,32,219.76,118.53,102.03,99.07,2.96,0,0
2003_1177,2003,1177,33.24,43.98,72.71,14.54,67.04,2.11,24.61,12.86,18.18,5.75,12.32,13,0,3,16,12,4,28,135.0,47.25,102.0,98.27,3.72,1,0
2003_1178,2003,1178,34.66,48.1,70.38,11.97,70.97,2.55,22.31,13.38,19.17,6.41,10.9,9,2,6,17,12,2,29,216.29,87.75,108.9,100.33,8.57,0,0
2003_1179,2003,1179,34.46,44.91,73.14,14.39,63.75,1.61,22.39,12.79,17.18,3.89,8.25,5,1,2,8,20,6,28,230.38,124.2,99.76,107.97,-8.22,0,0
2003_1180,2003,1180,34.39,43.06,67.32,13.59,68.62,4.62,24.41,14.72,18.24,7.34,11.03,6,2,10,18,11,1,29,213.28,101.0,99.87,94.54,5.33,0,0
2003_1181,2003,1181,35.6,45.36,70.9,14.03,81.97,5.13,23.1,13.83,21.27,8.5,13.77,15,6,3,24,6,1,30,92.54,51.33,111.15,96.49,14.66,2,1
2003_1182,2003,1182,36.64,44.48,68.9,18.93,66.7,3.6,22.17,12.57,19.47,6.7,10.87,5,1,3,9,21,4,30,228.56,107.38,94.78,104.08,-9.3,0,0
2003_1183,2003,1183,37.88,44.49,76.42,12.96,77.21,2.04,22.86,16.14,19.64,6.39,12.11,9,0,4,13,15,4,28,221.69,118.73,107.06,108.36,-1.3,0,0
2003_1184,2003,1184,32.59,44.74,69.37,14.83,74.67,2.5,21.38,14.21,22.92,7.83,11.67,4,0,3,7,17,3,24,269.57,147.76,101.49,109.78,-8.29,0,0
2003_1185,2003,1185,30.49,46.09,64.4,15.19,76.85,3.15,24.31,14.73,21.77,6.04,12.65,9,1,2,12,14,7,26,195.17,148.07,103.4,107.87,-4.47,0,0
2003_1186,2003,1186,35.14,46.67,73.37,17.03,69.97,2.72,22.86,14.79,21.48,7.69,9.38,8,2,7,17,12,1,29,212.53,110.5,99.91,94.8,5.11,0,0
2003_1187,2003,1187,26.9,40.46,69.09,12.8,63.0,3.64,24.76,11.92,17.32,4.76,12.84,6,1,3,10,15,5,25,179.4,70.6,96.02,100.9,-4.88,1,1
2003_1189,2003,1189,32.38,42.29,65.86,16.2,62.4,2.56,20.56,11.16,19.48,7.2,12.92,4,0,6,10,15,2,25,271.3,159.2,94.71,105.57,-10.86,0,0
2003_1190,2003,1190,34.39,45.72,73.88,18.74,79.7,5.26,24.04,14.04,19.52,10.7,14.0,8,4,5,17,10,3,27,212.53,130.4,102.28,99.97,2.31,0,0
2003_1191,2003,1191,39.14,48.34,72.96,15.93,70.0,3.39,23.07,15.75,19.89,5.39,8.79,9,0,3,12,16,6,28,155.92,126.75,103.95,109.93,-5.98,1,0
2003_1192,2003,1192,35.19,43.74,70.44,14.59,72.62,2.34,21.28,14.03,19.24,6.0,10.07,10,1,4,15,14,8,29,234.13,221.21,101.34,104.09,-2.76,0,0
2003_1193,2003,1193,33.07,44.34,72.24,17.13,70.63,5.33,25.6,12.83,20.3,7.6,11.8,7,3,9,19,11,2,30,190.21,114.73,98.86,96.4,2.46,0,0
2003_1194,2003,1194,33.52,39.27,66.8,16.63,69.07,3.48,21.56,12.22,23.33,9.07,14.37,3,2,1,6,21,3,27,275.5,160.57,92.07,103.19,-11.11,0,0
2003_1196,2003,1196,39.21,47.66,70.53,13.39,75.9,4.1,24.26,16.42,16.9,7.77,10.81,15,2,7,24,7,2,31,114.0,33.86,111.51,95.42,16.09,3,2
2003_1197,2003,1197,38.83,43.07,67.67,17.48,71.48,2.1,24.45,11.24,19.9,7.24,13.45,9,1,7,17,12,1,29,281.0,155.25,102.59,100.43,2.16,0,0
2003_1198,2003,1198,30.77,40.77,61.06,15.86,59.89,2.04,20.86,9.5,19.21,7.75,13.71,4,1,2,7,21,5,28,212.71,147.33,92.48,100.77,-8.29,0,0
2003_1199,2003,1199,33.27,43.2,67.18,14.9,68.07,4.48,24.0,13.93,18.93,9.45,10.62,12,1,1,14,15,3,29,158.86,47.73,96.93,94.75,2.18,1,0
2003_1200,2003,1200,33.39,41.22,61.8,17.46,64.64,3.29,22.36,12.11,21.11,7.43,11.46,1,0,1,2,26,2,28,237.0,112.12,91.25,109.86,-18.61,0,0
2003_1201,2003,1201,35.47,44.84,70.64,15.79,71.64,4.43,24.32,14.75,19.89,6.57,13.43,14,0,6,20,8,1,28,186.9,99.62,103.62,96.87,6.75,0,0
2003_1202,2003,1202,32.78,41.71,69.09,14.82,64.54,2.89,22.89,12.71,17.46,6.93,12.68,7,1,3,11,17,4,28,231.73,153.94,97.38,102.94,-5.56,0,0
2003_1203,2003,1203,33.99,43.85,67.54,16.34,71.38,3.17,22.76,13.28,20.52,6.45,13.79,7,0,5,12,17,3,29,205.83,90.94,102.96,103.47,-0.52,0,0
2003_1204,2003,1204,35.56,45.89,64.15,15.81,75.58,3.69,22.92,13.62,19.42,7.38,13.5,6,1,6,13,13,3,26,238.69,145.92,103.16,107.14,-3.99,0,0
2003_1205,2003,1205,29.93,39.52,69.94,16.46,67.21,2.96,25.75,15.43,18.43,6.75,12.54,3,0,1,4,24,3,28,216.5,162.67,91.44,101.16,-9.73,0,0
2003_1206,2003,1206,30.41,42.31,67.88,15.68,64.07,2.21,23.46,11.71,16.93,7.61,12.93,10,0,6,16,12,3,28,192.31,129.33,96.38,92.45,3.93,0,0
2003_1207,2003,1207,32.77,42.99,73.35,15.93,76.31,6.31,25.52,15.52,22.21,9.48,14.03,11,1,3,15,14,3,29,190.2,42.14,100.82,93.4,7.42,0,0
2003_1208,2003,1208,38.03,46.41,71.4,11.56,79.19,4.37,24.59,17.93,17.19,7.63,12.81,12,2,5,19,8,0,27,69.47,40.0,112.39,104.08,8.31,3,1
2003_1209,2003,1209,33.46,45.32,71.01,14.54,73.21,4.93,22.18,13.29,17.14,7.61,11.5,8,0,5,13,15,2,28,264.15,130.73,103.3,104.12,-0.82,0,0
2003_1210,2003,1210,34.72,44.66,67.74,15.18,74.07,5.36,24.75,15.57,18.57,8.07,14.04,12,1,1,14,14,5,28,134.57,50.21,103.16,97.92,5.24,1,1
2003_1211,2003,1211,37.56,47.0,72.12,14.55,77.06,3.52,25.32,15.74,18.65,6.81,11.94,11,3,9,23,8,1,31,161.7,81.62,110.4,97.35,13.05,1,0
2003_1212,2003,1212,34.18,42.28,69.9,16.25,71.11,3.96,25.5,13.32,19.68,5.46,10.96,7,0,3,10,18,4,28,280.2,184.94,94.19,107.31,-13.11,0,0
2003_1214,2003,1214,32.13,45.4,66.07,17.7,71.47,3.7,23.47,14.63,22.63,8.43,12.67,10,2,7,19,11,1,30,268.89,176.0,99.89,95.42,4.47,0,0
2003_1216,2003,1216,33.57,41.73,63.67,14.0,64.5,2.32,22.57,12.04,18.79,7.25,13.89,10,1,4,15,13,2,28,248.4,154.69,98.47,98.08,0.39,0,0
2003_1217,2003,1217,37.0,42.76,67.83,16.92,70.62,2.38,24.81,15.42,20.38,7.46,12.92,5,0,6,11,15,3,26,229.18,147.47,98.5,100.05,-1.55,0,0
2003_1218,2003,1218,34.93,45.41,68.71,14.72,69.83,3.1,22.48,16.24,17.86,6.79,11.48,15,1,2,18,11,4,29,151.39,143.27,101.93,97.98,3.95,0,0
2003_1219,2003,1219,33.33,44.37,64.85,16.19,68.52,2.0,21.48,11.89,18.26,7.41,11.96,4,1,2,7,20,6,27,265.29,202.7,97.89,107.74,-9.84,0,0
2003_1220,2003,1220,32.2,40.68,58.83,18.48,64.1,2.93,25.62,13.07,20.14,5.24,15.0,5,1,2,8,21,5,29,211.38,153.48,92.7,101.51,-8.81,0,0
2003_1221,2003,1221,35.98,45.91,70.56,13.93,69.34,4.48,24.31,15.41,18.38,7.97,12.07,11,4,10,25,4,1,29,228.08,127.75,106.63,88.01,18.62,0,0
2003_1222,2003,1222,30.35,40.32,65.97,17.43,58.25,4.43,25.96,10.79,16.61,5.21,11.68,6,1,1,8,20,7,28,168.88,99.1,89.05,100.23,-11.18,0,0
2003_1224,2003,1224,34.82,43.43,68.78,15.2,73.2,2.77,20.43,11.17,19.2,8.0,14.17,5,3,5,13,17,4,30,273.0,189.41,102.61,102.46,0.16,0,0
2003_1225,2003,1225,33.03,41.1,70.25,13.78,61.89,3.0,22.78,12.04,16.67,5.93,11.85,7,0,5,12,15,7,27,222.5,179.13,96.63,99.15,-2.52,0,0
2003_1226,2003,1226,33.87,44.32,64.41,14.96,70.59,3.41,22.56,14.26,19.89,8.04,11.26,7,3,3,13,14,3,27,221.54,147.71,98.32,100.6,-2.28,0,0
2003_1227,2003,1227,41.24,47.67,59.75,12.52,75.45,3.31,24.34,16.45,19.45,6.17,13.52,11,1,9,21,8,2,29,199.1,91.75,110.97,99.89,11.08,0,0
2003_1228,2003,1228,36.86,48.57,72.25,13.17,75.43,3.1,25.4,18.27,19.13,7.0,9.73,14,7,3,24,6,1,30,118.21,46.17,110.53,90.65,19.88,2,0
2003_1229,2003,1229,44.03,44.21,70.36,14.86,64.59,2.41,21.14,11.52,18.9,6.17,9.76,5,1,2,8,21,3,29,224.62,109.52,97.68,106.75,-9.08,0,0
2003_1231,2003,1231,34.83,42.66,71.27,11.5,70.53,5.34,25.62,13.81,18.06,4.44,11.22,11,7,2,20,12,4,32,106.75,56.5,107.09,101.4,5.69,1,0
2003_1232,2003,1232,34.56,39.36,68.5,13.32,56.42,2.77,20.84,12.29,18.39,6.52,9.94,5,2,0,7,24,4,31,209.57,124.58,89.43,104.05,-14.62,0,0
2003_1233,2003,1233,36.64,46.08,71.62,15.34,74.97,4.34,24.21,16.45,20.38,8.21,11.14,10,3,4,17,12,5,29,213.41,130.08,103.89,99.09,4.8,0,0
2003_1234,2003,1234,28.69,44.79,71.77,15.04,69.54,4.0,25.04,14.46,17.71,6.64,11.32,10,0,5,15,13,4,28,178.53,49.31,101.34,98.33,3.01,1,0
2003_1235,2003,1235,38.55,45.58,67.81,13.57,70.39,5.5,25.39,11.86,18.64,5.5,11.29,12,1,2,15,13,3,28,177.87,41.31,102.69,97.47,5.22,1,0
2003_1236,2003,1236,33.45,42.59,70.1,15.86,68.17,3.03,23.28,13.55,19.55,8.0,9.17,6,0,3,9,20,6,29,271.22,148.15,95.59,105.73,-10.13,0,0
2003_1237,2003,1237,34.96,45.31,70.17,15.91,71.25,1.81,20.91,13.38,19.34,8.19,11.69,8,4,7,19,13,3,32,242.16,124.69,103.6,102.17,1.43,0,0
2003_1238,2003,1238,32.79,41.23,68.39,16.11,70.43,2.54,23.46,13.11,22.21,9.89,10.18,8,0,2,10,18,6,28,256.2,194.5,94.43,98.69,-4.26,0,0
2003_1239,2003,1239,30.8,43.37,66.06,17.14,65.57,5.21,23.5,11.82,16.5,6.71,12.18,8,1,3,12,16,3,28,267.75,139.06,94.18,101.05,-6.87,0,0
2003_1240,2003,1240,37.44,45.26,67.76,14.83,75.0,2.62,21.31,15.21,21.21,9.55,12.48,10,2,7,19,10,2,29,262.63,138.8,106.07,102.48,3.6,0,0
2003_1241,2003,1241,33.09,42.9,67.11,15.0,66.52,5.1,23.03,12.76,19.97,5.9,11.45,7,1,4,12,17,6,29,225.17,146.59,97.95,100.97,-3.02,0,0
2003_1242,2003,1242,33.96,48.53,66.57,14.9,81.33,4.9,26.9,16.73,16.7,10.13,14.3,13,3,7,23,7,1,30,97.39,26.43,109.43,90.19,19.25,4,1
2003_1243,2003,1243,36.11,45.76,62.88,13.23,69.63,3.63,25.7,15.4,17.93,4.93,11.37,11,1,1,13,17,7,30,152.54,68.35,103.39,97.73,5.66,0,0
2003_1245,2003,1245,40.04,48.73,71.26,12.9,76.62,1.9,23.72,14.07,20.17,6.52,10.62,8,3,9,20,9,2,29,164.1,134.67,112.83,105.35,7.49,0,0
2003_1246,2003,1246,35.59,48.74,70.68,14.06,77.53,5.09,24.16,16.19,17.38,7.81,12.88,12,7,10,29,3,0,32,82.1,40.67,111.31,92.23,19.08,7,2
2003_1247,2003,1247,33.21,39.7,73.05,14.34,68.31,2.07,22.59,11.41,21.1,6.34,13.03,9,0,3,12,17,3,29,224.67,72.24,98.97,104.34,-5.37,0,0
2003_1248,2003,1248,35.58,44.33,70.81,14.04,66.11,3.81,23.56,13.37,16.11,5.19,9.44,7,1,3,11,16,6,27,260.91,168.12,100.75,105.07,-4.32,0,0
2003_1249,2003,1249,34.1,42.5,67.98,17.77,64.81,4.62,26.0,10.58,18.31,6.19,11.19,9,0,3,12,14,4,26,255.17,173.79,93.94,95.48,-1.54,0,0
2003_1250,2003,1250,35.04,42.85,72.93,14.08,63.85,3.04,24.08,12.0,18.85,7.08,10.19,9,1,4,14,12,1,26,273.14,171.17,98.13,97.89,0.23,0,0
2003_1251,2003,1251,30.19,40.25,73.94,18.17,65.52,3.03,24.21,11.31,20.14,8.62,11.55,11,0,3,14,15,7,29,263.57,197.0,93.1,98.11,-5.01,0,0
2003_1252,2003,1252,38.2,43.39,72.87,17.17,76.88,3.58,26.67,14.25,19.21,4.04,10.33,6,0,0,6,18,4,24,286.83,195.17,101.25,108.99,-7.75,0,0
2003_1253,2003,1253,32.61,42.99,70.85,17.12,62.58,2.62,20.35,11.77,19.42,4.5,9.73,4,0,0,4,22,4,26,215.25,175.82,94.65,112.34,-17.69,0,0
2003_1254,2003,1254,30.84,43.76,67.53,17.29,75.07,2.18,25.79,14.32,20.93,6.57,14.82,3,0,6,9,19,4,28,252.78,192.26,99.39,106.0,-6.6,0,0
2003_1256,2003,1256,33.8,42.2,69.49,14.08,68.08,3.2,24.0,11.16,20.24,5.4,12.48,7,0,3,10,15,5,25,180.2,107.73,97.94,105.35,-7.41,0,0
2003_1257,2003,1257,36.04,45.97,69.59,13.37,81.83,4.73,25.1,16.6,22.67,7.2,13.2,16,0,8,24,6,2,30,106.29,35.67,112.31,93.6,18.71,2,2
2003_1258,2003,1258,30.63,42.77,70.92,16.07,70.37,4.1,21.8,14.37,22.3,7.83,11.97,7,3,1,11,19,6,30,210.91,129.63,97.02,103.11,-6.09,0,0
2003_1259,2003,1259,31.78,39.43,68.59,17.46,59.04,2.64,22.07,9.54,18.29,5.54,10.0,3,0,1,4,24,3,28,261.5,167.71,88.23,107.66,-19.43,0,0
2003_1260,2003,1260,30.69,42.02,72.7,14.0,74.48,4.0,23.58,11.84,20.74,7.26,14.74,10,0,5,15,16,3,31,218.67,98.62,103.53,103.84,-0.32,0,0
