,avgOR,AvgOffRating,avgStl,Avg FT%,avgAst,Neutral Win,AvgDefRating,Season,avgPf,Away Win,Avg FG%,Top 10 Wins,AvgWinRank,avgBlk,Avg FG3%,Wins,Losses,AvgLossRank,avgDr,Games,Team,Top 25 Wins,avgScore,Upsets,AvgNetRating,Home Win,AvgTO,Conference
2003_1122,10.63,102.62,7.04,69.14,13.41,3,99.42,2003,18.67,6,45.23,0,188.3,4.67,34.91,20,7,149.0,24.22,27,1122,0,69.7,1,3.2,11,15.22,ovc
2003_1123,13.17,103.42,5.2,72.59,10.5,2,107.57,2003,22.87,2,42.89,0,182.85,2.2,32.2,13,17,91.0,21.73,30,1123,0,73.3,2,-4.15,9,12.83,mac
2003_1124,11.71,101.65,8.32,72.51,14.21,2,100.31,2003,15.75,2,40.7,0,195.57,2.96,34.19,14,14,48.79,23.18,28,1124,1,69.0,3,1.35,10,13.29,big_twelve
2003_1125,10.54,103.69,9.07,70.19,16.89,2,101.4,2003,18.36,7,46.58,0,228.63,1.71,36.76,16,12,123.42,23.64,28,1125,0,72.46,2,2.29,7,16.93,a_sun
2003_1126,12.3,94.77,8.27,69.31,10.97,1,105.03,2003,19.43,3,41.32,0,291.5,1.8,35.77,8,22,207.36,20.43,30,1126,0,64.7,2,-10.26,4,15.87,meac
2003_1127,11.7,97.81,6.44,67.59,12.7,1,97.33,2003,18.26,4,42.03,0,249.43,6.48,34.97,14,13,165.46,24.22,27,1127,0,66.56,3,0.49,9,15.07,aec
2003_1128,10.65,103.95,7.88,72.32,13.38,0,99.36,2003,18.08,7,44.28,0,261.29,3.96,35.52,17,9,181.78,21.46,26,1128,0,67.85,2,4.6,10,15.65,ind
2003_1129,11.18,95.08,6.64,69.74,11.64,0,96.45,2003,19.5,4,41.07,0,216.0,3.82,29.77,12,16,112.63,21.93,28,1129,0,65.89,5,-1.37,8,14.39,wac
2003_1130,13.79,111.64,7.0,69.09,17.0,0,107.68,2003,18.97,9,46.88,0,131.39,2.9,34.46,18,11,64.09,22.07,29,1130,0,79.66,1,3.96,9,13.34,big_east
2003_1131,11.0,102.47,5.7,74.31,13.57,3,95.41,2003,20.17,8,43.05,0,230.45,3.47,33.97,20,10,131.2,24.4,30,1131,0,68.1,1,7.06,9,13.37,aec
2003_1132,8.67,97.94,7.15,73.73,12.74,1,104.41,2003,22.19,4,43.87,0,174.0,2.52,36.58,11,16,111.69,22.11,27,1132,0,66.48,6,-6.47,6,16.67,mac
2003_1133,11.0,102.12,7.45,70.4,12.55,2,101.92,2003,20.34,3,43.64,0,216.64,1.69,35.92,11,18,109.06,23.24,29,1133,0,72.31,3,0.2,6,14.17,mvc
2003_1135,9.54,104.5,7.64,74.43,14.57,0,101.91,2003,17.61,10,46.15,0,245.06,3.68,37.02,17,11,103.64,23.36,28,1135,0,73.96,0,2.59,7,15.68,ivy
2003_1137,9.71,91.4,5.79,63.71,11.68,3,93.25,2003,17.79,4,40.43,0,256.62,2.14,33.82,13,15,160.93,22.04,28,1137,0,57.68,4,-1.85,6,15.82,patriot
2003_1138,13.57,95.29,6.43,67.16,12.64,0,107.4,2003,22.71,0,40.2,0,182.0,2.07,29.21,5,23,158.91,22.64,28,1138,0,64.82,4,-12.11,5,14.5,mac
2003_1139,7.83,112.76,6.34,72.29,12.97,3,100.62,2003,16.07,10,47.52,0,180.5,1.86,38.8,24,5,69.0,20.38,29,1139,0,68.59,0,12.14,11,10.41,horizon
2003_1140,10.87,110.68,6.94,75.3,13.42,4,95.47,2003,21.42,6,46.88,0,121.0,2.52,38.4,23,8,45.88,24.42,31,1140,0,72.45,0,15.21,13,13.74,mwc
2003_1141,10.59,109.56,7.1,76.58,15.62,3,101.38,2003,20.97,9,50.52,0,156.96,4.0,38.08,23,6,128.33,23.28,29,1141,0,79.34,0,8.17,11,18.24,mac
2003_1142,11.52,97.76,6.97,71.63,12.45,3,98.85,2003,19.45,6,42.46,0,217.93,3.83,31.74,15,14,157.21,23.38,29,1142,0,67.52,4,-1.09,6,15.83,big_west
2003_1143,11.24,105.23,6.55,68.55,16.0,1,98.71,2003,17.1,7,46.56,0,146.71,2.79,37.65,21,8,39.38,24.38,29,1143,1,74.48,2,6.52,13,14.17,pac_ten
2003_1144,7.85,93.84,6.19,69.87,14.5,0,113.76,2003,16.58,0,44.09,0,295.25,2.73,34.98,4,22,199.41,19.85,26,1144,0,65.04,3,-19.92,4,16.0,a_sun
2003_1145,11.5,99.59,8.14,70.52,15.64,1,100.52,2003,19.36,3,43.88,0,246.1,3.39,34.37,10,18,124.94,25.25,28,1145,0,70.25,5,-0.93,6,14.32,maac
2003_1147,11.04,100.72,8.13,76.97,12.04,0,109.0,2003,20.42,5,45.28,0,278.8,3.71,31.9,10,14,157.79,18.5,24,1147,0,72.63,3,-8.28,5,16.08,ind
2003_1148,11.5,103.54,5.79,74.75,11.46,1,103.83,2003,15.54,5,46.25,0,253.87,1.64,37.59,15,13,183.15,21.89,28,1148,0,67.54,3,-0.3,9,15.46,nec
2003_1149,10.77,97.22,9.77,74.53,12.46,0,97.5,2003,19.23,5,44.2,0,249.83,3.19,27.86,12,14,176.71,21.27,26,1149,0,64.69,3,-0.28,7,14.65,big_south
2003_1150,14.66,99.39,8.48,63.37,14.52,0,101.8,2003,18.34,2,39.62,0,130.38,2.03,33.29,13,16,67.38,23.28,29,1150,0,68.45,6,-2.41,11,13.72,cusa
2003_1151,12.61,110.95,7.14,75.94,16.18,2,104.88,2003,18.57,8,47.89,0,206.47,3.18,36.86,19,9,154.33,23.07,28,1151,0,79.82,3,6.07,9,16.46,southern
2003_1152,12.03,92.74,7.2,61.77,12.1,1,110.42,2003,22.03,0,44.21,0,257.33,1.67,33.24,3,27,182.96,20.73,30,1152,0,63.2,3,-17.68,2,17.43,mid_cont
2003_1153,12.14,102.73,5.18,68.99,12.29,2,94.65,2003,18.96,3,40.39,0,110.71,4.25,34.25,17,11,50.91,23.39,28,1153,2,67.32,2,8.08,12,10.61,cusa
2003_1154,11.0,91.02,7.46,66.39,13.08,0,103.76,2003,20.13,1,40.05,0,259.0,3.04,31.36,4,20,168.1,21.67,24,1154,0,63.08,3,-12.74,3,16.33,southern
2003_1155,13.43,103.78,7.11,65.65,12.54,1,102.45,2003,19.11,1,44.17,0,178.6,2.64,34.7,15,13,45.92,22.43,28,1155,0,68.43,6,1.33,13,13.46,acc
2003_1156,10.43,96.38,7.07,65.93,13.53,1,107.16,2003,19.47,2,44.61,0,237.63,4.43,37.11,8,22,124.82,21.0,30,1156,0,65.63,5,-10.78,5,17.23,horizon
2003_1157,13.35,100.28,6.23,73.29,12.23,0,102.93,2003,21.19,5,43.46,0,222.91,1.58,36.87,11,15,208.53,22.12,26,1157,0,67.27,7,-2.64,6,16.85,big_south
2003_1158,10.9,103.8,7.34,68.51,14.45,5,97.01,2003,18.93,7,43.61,0,215.18,4.38,39.08,22,7,105.29,23.93,29,1158,1,73.34,2,6.79,10,14.07,southern
2003_1159,10.58,97.84,6.88,68.88,13.96,0,100.8,2003,19.15,5,43.35,0,267.58,1.69,35.26,12,14,175.93,21.88,26,1159,0,65.88,4,-2.96,7,14.31,patriot
2003_1160,14.48,104.38,6.13,67.52,13.39,3,98.52,2003,17.71,3,44.35,2,124.85,6.65,32.56,20,11,59.0,27.97,31,1160,4,75.52,4,5.85,14,14.0,big_twelve
2003_1161,10.8,107.22,5.33,70.05,15.5,2,106.77,2003,20.57,3,50.67,0,154.65,4.23,36.31,17,13,65.08,23.47,30,1161,2,74.0,4,0.45,12,16.13,mwc
2003_1162,9.44,81.99,5.19,67.13,9.7,0,101.77,2003,18.26,1,37.28,0,308.5,3.44,30.29,2,25,197.44,21.63,27,1162,0,49.63,2,-19.78,1,17.07,ivy
2003_1163,14.77,108.19,5.93,67.42,15.63,2,97.38,2003,18.4,5,47.48,2,119.62,7.73,38.64,21,9,70.44,27.9,30,1163,3,80.03,3,10.8,14,15.8,big_east
2003_1164,9.25,94.78,7.32,73.12,9.21,0,103.05,2003,15.71,6,43.7,0,274.91,2.07,39.24,11,17,149.59,19.43,28,1164,0,58.04,3,-8.27,5,14.86,meac
2003_1165,9.31,93.08,7.31,63.7,12.92,0,104.18,2003,18.35,4,42.5,0,272.25,2.12,33.54,8,18,167.78,22.15,26,1165,0,59.92,4,-11.1,4,15.46,ivy
2003_1166,10.88,113.82,8.39,69.29,16.82,5,93.09,2003,17.27,7,49.95,0,169.31,4.45,38.91,29,4,82.0,23.18,33,1166,2,79.24,2,20.73,17,13.36,mvc
2003_1168,12.07,100.93,5.93,64.84,11.69,0,106.38,2003,18.0,4,43.94,0,227.4,1.52,34.59,10,19,174.0,19.34,29,1168,0,62.93,7,-5.45,6,13.24,big_west
2003_1169,12.43,100.91,8.54,70.55,12.75,1,101.91,2003,22.79,4,44.71,0,232.23,2.0,35.34,13,15,158.2,22.21,28,1169,0,69.86,4,-1.01,8,17.11,big_west
2003_1170,10.86,92.42,8.39,67.18,12.96,1,102.49,2003,21.39,5,41.05,0,228.18,2.93,30.9,11,17,163.88,22.04,28,1170,0,65.43,7,-10.07,5,16.36,big_sky
2003_1171,6.77,95.52,6.08,70.4,13.54,1,104.7,2003,18.58,3,41.3,0,281.29,2.38,35.75,7,19,168.68,21.35,26,1171,0,59.23,2,-9.17,3,12.42,ivy
2003_1172,11.83,102.88,5.63,77.36,16.0,0,98.58,2003,20.38,6,45.08,0,224.14,1.63,39.08,14,10,122.8,28.38,24,1172,0,76.5,3,4.3,8,18.88,southern
2003_1173,13.48,112.38,5.38,71.56,15.21,0,102.43,2003,17.59,7,45.17,1,128.63,2.93,36.03,24,5,51.4,23.17,29,1173,1,72.79,1,9.95,17,13.31,a_ten
2003_1174,11.03,97.25,7.97,70.59,14.03,2,97.58,2003,19.1,5,40.84,0,206.47,3.72,33.78,15,14,131.07,24.38,29,1174,0,68.62,5,-0.33,8,13.41,caa
2003_1175,10.63,101.97,6.67,68.68,12.15,0,102.07,2003,18.26,4,44.11,0,258.67,3.37,36.78,15,12,165.75,19.33,27,1175,0,62.22,4,-0.11,11,13.7,meac
2003_1176,12.78,102.03,7.16,72.8,14.38,5,99.07,2003,19.16,2,40.75,0,219.76,1.69,34.58,17,15,118.53,24.25,32,1176,0,70.88,4,2.96,10,13.31,sun_belt
2003_1177,12.32,102.0,5.75,72.71,12.86,0,98.27,2003,18.18,3,43.98,0,135.0,2.11,33.24,16,12,47.25,24.61,28,1177,1,67.04,4,3.72,13,14.54,cusa
2003_1178,10.9,108.9,6.41,70.38,13.38,2,100.33,2003,19.17,6,48.1,0,216.29,2.55,34.66,17,12,87.75,22.31,29,1178,0,70.97,2,8.57,9,11.97,horizon
2003_1179,8.25,99.76,3.89,73.14,12.79,1,107.97,2003,17.18,2,44.91,0,230.38,1.61,34.46,8,20,124.2,22.39,28,1179,0,63.75,6,-8.22,5,14.39,mvc
2003_1180,11.03,99.87,7.34,67.32,14.72,2,94.54,2003,18.24,10,43.06,0,213.28,4.62,34.39,18,11,101.0,24.41,29,1180,0,68.62,1,5.33,6,13.59,caa
2003_1181,13.77,111.15,8.5,70.9,13.83,6,96.49,2003,21.27,3,45.36,1,92.54,5.13,35.6,24,6,51.33,23.1,30,1181,2,81.97,1,14.66,15,14.03,acc
2003_1182,10.87,94.78,6.7,68.9,12.57,1,104.08,2003,19.47,3,44.48,0,228.56,3.6,36.64,9,21,107.38,22.17,30,1182,0,66.7,4,-9.3,5,18.93,a_ten
2003_1183,12.11,107.06,6.39,76.42,16.14,0,108.36,2003,19.64,4,44.49,0,221.69,2.04,37.88,13,15,118.73,22.86,28,1183,0,77.21,4,-1.3,9,12.96,ovc
2003_1184,11.67,101.49,7.83,69.37,14.21,0,109.78,2003,22.92,3,44.74,0,269.57,2.5,32.59,7,17,147.76,21.38,24,1184,0,74.67,3,-8.29,4,14.83,ovc
2003_1185,12.65,103.4,6.04,64.4,14.73,1,107.87,2003,21.77,2,46.09,0,195.17,3.15,30.49,12,14,148.07,24.31,26,1185,0,76.85,7,-4.47,9,15.19,mac
2003_1186,9.38,99.91,7.69,73.37,14.79,2,94.8,2003,21.48,7,46.67,0,212.53,2.72,35.14,17,12,110.5,22.86,29,1186,0,69.97,1,5.11,8,17.03,big_sky
2003_1187,12.84,96.02,4.76,69.09,11.92,1,100.9,2003,17.32,3,40.46,1,179.4,3.64,26.9,10,15,70.6,24.76,25,1187,1,63.0,5,-4.88,6,12.8,cusa
2003_1189,12.92,94.71,7.2,65.86,11.16,0,105.57,2003,19.48,6,42.29,0,271.3,2.56,32.38,10,15,159.2,20.56,25,1189,0,62.4,2,-10.86,4,16.2,big_south
2003_1190,14.0,102.28,10.7,73.88,14.04,4,99.97,2003,19.52,5,45.72,0,212.53,5.26,34.39,17,10,130.4,24.04,27,1190,0,79.7,3,2.31,8,18.74,southern
2003_1191,8.79,103.95,5.39,72.96,15.75,0,109.93,2003,19.89,3,48.34,0,155.92,3.39,39.14,12,16,126.75,23.07,28,1191,1,70.0,6,-5.98,9,15.93,mvc
2003_1192,10.07,101.34,6.0,70.44,14.03,1,104.09,2003,19.24,4,43.74,0,234.13,2.34,35.19,15,14,221.21,21.28,29,1192,0,72.62,8,-2.76,10,14.59,nec
2003_1193,11.8,98.86,7.6,72.24,12.83,3,96.4,2003,20.3,9,44.34,0,190.21,5.33,33.07,19,11,114.73,25.6,30,1193,0,70.63,2,2.46,7,17.13,maac
2003_1194,14.37,92.07,9.07,66.8,12.22,2,103.19,2003,23.33,1,39.27,0,275.5,3.48,33.52,6,21,160.57,21.56,27,1194,0,69.07,3,-11.11,3,16.63,a_sun
2003_1196,10.81,111.51,7.77,70.53,16.42,2,95.42,2003,16.9,7,47.66,2,114.0,4.1,39.21,24,7,33.86,24.26,31,1196,3,75.9,2,16.09,15,13.39,sec
2003_1197,13.45,102.59,7.24,67.67,11.24,1,100.43,2003,19.9,7,43.07,0,281.0,2.1,38.83,17,12,155.25,24.45,29,1197,0,71.48,1,2.16,9,17.48,meac
2003_1198,13.71,92.48,7.75,61.06,9.5,1,100.77,2003,19.21,2,40.77,0,212.71,2.04,30.77,7,21,147.33,20.86,28,1198,0,59.89,5,-8.29,4,15.86,sun_belt
2003_1199,10.62,96.93,9.45,67.18,13.93,1,94.75,2003,18.93,1,43.2,0,158.86,4.48,33.27,14,15,47.73,24.0,29,1199,1,68.07,3,2.18,12,14.9,acc
2003_1200,11.46,91.25,7.43,61.8,12.11,0,109.86,2003,21.11,1,41.22,0,237.0,3.29,33.39,2,26,112.12,22.36,28,1200,0,64.64,2,-18.61,1,17.46,a_ten
2003_1201,13.43,103.62,6.57,70.64,14.75,0,96.87,2003,19.89,6,44.84,0,186.9,4.43,35.47,20,8,99.63,24.32,28,1201,0,71.64,1,6.75,14,15.79,wac
2003_1202,12.68,97.38,6.93,69.09,12.71,1,102.94,2003,17.46,3,41.71,0,231.73,2.89,32.78,11,17,153.94,22.89,28,1202,0,64.54,4,-5.56,7,14.82,southern
2003_1203,13.79,102.96,6.45,67.54,13.28,0,103.47,2003,20.52,5,43.85,0,205.83,3.17,33.99,12,17,90.94,22.76,29,1203,0,71.38,3,-0.52,7,16.34,a_ten
2003_1204,13.5,103.16,7.38,64.15,13.62,1,107.14,2003,19.42,6,45.89,0,238.69,3.69,35.56,13,13,145.92,22.92,26,1204,0,75.58,3,-3.99,6,15.81,southern
2003_1205,12.54,91.44,6.75,69.94,15.43,0,101.16,2003,18.43,1,39.52,0,216.5,2.96,29.93,4,24,162.67,25.75,28,1205,0,67.21,3,-9.73,3,16.46,a_sun
2003_1206,12.93,96.38,7.61,67.88,11.71,0,92.45,2003,16.93,6,42.31,0,192.31,2.21,30.41,16,12,129.33,23.46,28,1206,0,64.07,3,3.93,10,15.68,caa
2003_1207,14.03,100.82,9.48,73.35,15.52,1,93.4,2003,22.21,3,42.99,0,190.2,6.31,32.77,15,14,42.14,25.52,29,1207,0,76.31,3,7.42,11,15.93,big_east
2003_1208,12.81,112.39,7.63,71.4,17.93,2,104.08,2003,17.19,5,46.41,1,69.47,4.37,38.03,19,8,40.0,24.59,27,1208,3,79.19,0,8.31,12,11.56,sec
2003_1209,11.5,103.3,7.61,71.01,13.29,0,104.12,2003,17.14,5,45.32,0,264.15,4.93,33.46,13,15,130.73,22.18,28,1209,0,73.21,2,-0.82,8,14.54,a_sun
2003_1210,14.04,103.16,8.07,67.74,15.57,1,97.92,2003,18.57,1,44.66,1,134.57,5.36,34.72,14,14,50.21,24.75,28,1210,1,74.07,5,5.24,12,15.18,acc
2003_1211,11.94,110.4,6.81,72.12,15.74,3,97.35,2003,18.65,9,47.0,0,161.7,3.52,37.56,23,8,81.63,25.32,31,1211,1,77.06,1,13.05,11,14.55,wcc
2003_1212,10.96,94.19,5.46,69.9,13.32,0,107.31,2003,19.68,3,42.28,0,280.2,3.96,34.18,10,18,184.94,25.5,28,1212,0,71.11,4,-13.11,7,16.25,swac
2003_1214,12.67,99.89,8.43,66.07,14.63,2,95.42,2003,22.63,7,45.4,0,268.89,3.7,32.13,19,11,176.0,23.47,30,1214,0,71.47,1,4.47,10,17.7,meac
2003_1216,13.89,98.47,7.25,63.67,12.04,1,98.08,2003,18.79,4,41.73,0,248.4,2.32,33.57,15,13,154.69,22.57,28,1216,0,64.5,2,0.39,10,14.0,aec
2003_1217,12.92,98.5,7.46,67.83,15.42,0,100.05,2003,20.38,6,42.76,0,229.18,2.38,37.0,11,15,147.47,24.81,26,1217,0,70.62,3,-1.55,5,16.92,ivy
2003_1218,11.48,101.93,6.79,68.71,16.24,1,97.98,2003,17.86,2,45.41,0,151.39,3.1,34.93,18,11,143.27,22.48,29,1218,0,69.83,4,3.95,15,14.72,wac
2003_1219,11.96,97.89,7.41,64.85,11.89,1,107.74,2003,18.26,2,44.37,0,265.29,2.0,33.33,7,20,202.7,21.48,27,1219,0,68.52,6,-9.84,4,16.19,big_south
2003_1220,15.0,92.7,5.24,58.83,13.07,1,101.51,2003,20.14,2,40.68,0,211.38,2.93,32.2,8,21,153.48,25.62,29,1220,0,64.1,5,-8.81,5,18.48,caa
2003_1221,12.07,106.63,7.97,70.56,15.41,4,88.01,2003,18.38,10,45.91,0,228.08,4.48,35.98,25,4,127.75,24.31,29,1221,0,69.34,1,18.62,11,13.93,patriot
2003_1222,11.68,89.05,5.21,65.97,10.79,1,100.23,2003,16.61,1,40.32,0,168.88,4.43,30.35,8,20,99.1,25.96,28,1222,0,58.25,7,-11.18,6,17.43,cusa
2003_1224,14.17,102.61,8.0,68.78,11.17,3,102.46,2003,19.2,5,43.43,0,273.0,2.77,34.82,13,17,189.41,20.43,30,1224,0,73.2,4,0.16,5,15.2,meac
2003_1225,11.85,96.63,5.93,70.25,12.04,0,99.15,2003,16.67,5,41.1,0,222.5,3.0,33.03,12,15,179.13,22.78,27,1225,0,61.89,7,-2.52,7,13.78,big_west
2003_1226,11.26,98.32,8.04,64.41,14.26,3,100.6,2003,19.89,3,44.32,0,221.54,3.41,33.87,13,14,147.71,22.56,27,1226,0,70.59,3,-2.28,7,14.96,big_sky
2003_1227,13.52,110.97,6.17,59.75,16.45,1,99.89,2003,19.45,9,47.67,0,199.1,3.31,41.24,21,8,91.75,24.34,29,1227,0,75.45,2,11.08,11,12.52,horizon
2003_1228,9.73,110.53,7.0,72.25,18.27,7,90.65,2003,19.13,3,48.57,0,118.21,3.1,36.86,24,6,46.17,25.4,30,1228,2,75.43,1,19.88,14,13.17,big_ten
2003_1229,9.76,97.68,6.17,70.36,11.52,1,106.75,2003,18.9,2,44.21,0,224.63,2.41,44.03,8,21,109.52,21.14,29,1229,0,64.59,3,-9.08,5,14.86,mvc
2003_1231,11.22,107.09,4.44,71.27,13.81,7,101.4,2003,18.06,2,42.66,0,106.75,5.34,34.83,20,12,56.5,25.63,32,1231,1,70.53,4,5.69,11,11.5,big_ten
2003_1232,9.94,89.43,6.52,68.5,12.29,2,104.05,2003,18.39,0,39.36,0,209.57,2.77,34.56,7,24,124.58,20.84,31,1232,0,56.42,4,-14.62,5,13.32,mvc
2003_1233,11.14,103.89,8.21,71.62,16.45,3,99.09,2003,20.38,4,46.08,0,213.41,4.34,36.64,17,12,130.08,24.21,29,1233,0,74.97,5,4.8,10,15.34,maac
2003_1234,11.32,101.34,6.64,71.77,14.46,0,98.33,2003,17.71,5,44.79,0,178.53,4.0,28.69,15,13,49.31,25.04,28,1234,1,69.54,4,3.01,10,15.04,big_ten
2003_1235,11.29,102.69,5.5,67.81,11.86,1,97.47,2003,18.64,2,45.58,0,177.87,5.5,38.55,15,13,41.31,25.39,28,1235,1,70.39,3,5.22,12,13.57,big_twelve
2003_1236,9.17,95.59,8.0,70.1,13.55,0,105.73,2003,19.55,3,42.59,0,271.22,3.03,33.45,9,20,148.15,23.28,29,1236,0,68.17,6,-10.13,6,15.86,ind
2003_1237,11.69,103.6,8.19,70.17,13.38,4,102.17,2003,19.34,7,45.31,0,242.16,1.81,34.96,19,13,124.69,20.91,32,1237,0,71.25,3,1.43,8,15.91,mid_cont
2003_1238,10.18,94.43,9.89,68.39,13.11,0,98.69,2003,22.21,2,41.23,0,256.2,2.54,32.79,10,18,194.5,23.46,28,1238,0,70.43,6,-4.26,8,16.11,swac
2003_1239,12.18,94.18,6.71,66.06,11.82,1,101.05,2003,16.5,3,43.37,0,267.75,5.21,30.8,12,16,139.06,23.5,28,1239,0,65.57,3,-6.87,8,17.14,a_sun
2003_1240,12.48,106.07,9.55,67.76,15.21,2,102.48,2003,21.21,7,45.26,0,262.63,2.62,37.44,19,10,138.8,21.31,29,1240,0,75.0,2,3.6,10,14.83,a_sun
2003_1241,11.45,97.95,5.9,67.11,12.76,1,100.97,2003,19.97,4,42.9,0,225.17,5.1,33.09,12,17,146.59,23.03,29,1241,0,66.52,6,-3.02,7,15.0,caa
2003_1242,14.3,109.43,10.13,66.57,16.73,3,90.19,2003,16.7,7,48.53,1,97.39,4.9,33.96,23,7,26.43,26.9,30,1242,4,81.33,1,19.25,13,14.9,big_twelve
2003_1243,11.37,103.39,4.93,62.88,15.4,1,97.73,2003,17.93,1,45.76,0,152.54,3.63,36.11,13,17,68.35,25.7,30,1243,0,69.63,7,5.66,11,13.23,big_twelve
2003_1245,10.62,112.83,6.52,71.26,14.07,3,105.35,2003,20.17,9,48.73,0,164.1,1.9,40.04,20,9,134.67,23.72,29,1245,0,76.62,2,7.49,8,12.9,mac
2003_1246,12.88,111.31,7.81,70.68,16.19,7,92.23,2003,17.38,10,48.74,2,82.1,5.09,35.59,29,3,40.67,24.16,32,1246,7,77.53,0,19.08,12,14.06,sec
2003_1247,13.03,98.97,6.34,73.05,11.41,0,104.34,2003,21.1,3,39.7,0,224.67,2.07,33.21,12,17,72.24,22.59,29,1247,0,68.31,3,-5.37,9,14.34,a_ten
2003_1248,9.44,100.75,5.19,70.81,13.37,1,105.07,2003,16.11,3,44.33,0,260.91,3.81,35.58,11,16,168.13,23.56,27,1248,0,66.11,6,-4.32,7,14.04,patriot
2003_1249,11.19,93.94,6.19,67.98,10.58,0,95.48,2003,18.31,3,42.5,0,255.17,4.62,34.1,12,14,173.79,26.0,26,1249,0,64.81,4,-1.54,9,17.77,southland
2003_1250,10.19,98.13,7.08,72.93,12.0,1,97.89,2003,18.85,4,42.85,0,273.14,3.04,35.04,14,12,171.17,24.08,26,1250,0,63.85,1,0.23,9,14.08,patriot
2003_1251,11.55,93.1,8.62,73.94,11.31,0,98.11,2003,20.14,3,40.25,0,263.57,3.03,30.19,14,15,197.0,24.21,29,1251,0,65.52,7,-5.01,11,18.17,big_south
2003_1252,10.33,101.25,4.04,72.87,14.25,0,108.99,2003,19.21,0,43.39,0,286.83,3.58,38.2,6,18,195.17,26.67,24,1252,0,76.88,4,-7.75,6,17.17,ind
2003_1253,9.73,94.65,4.5,70.85,11.77,0,112.34,2003,19.42,0,42.99,0,215.25,2.62,32.61,4,22,175.82,20.35,26,1253,0,62.58,4,-17.69,4,17.12,big_west
